Sample	Geno	Genotype	Colony	Branch
D1P1	GR	R	R1	Basal
D1P2	GR	R	R1	Basal
D1P3	GR	R	R1	Basal
D1S1	GR	R	R1	Intermediate 
D1S2	GR	R	R1	Intermediate 
D1S3	GR	R	R1	Intermediate 
D1T1	GR	R	R1	Tip
D1T2	GR	R	R1	Tip
D1T3	GR	R	R1	Tip
D2P1	GR	R	R2	Basal
D2P2	GR	R	R2	Basal
D2P3	GR	R	R2	Basal
D2S1	GR	R	R2	Intermediate 
D2S2	GR	R	R2	Intermediate 
D2S3	GR	R	R2	Intermediate 
D2T1	GR	R	R2	Tip
D2T2	GR	R	R2	Tip
D2T3	GR	R	R2	Tip
D3P1	GR	R	R3	Basal
D3P2	GR	R	R3	Basal
D3P3	GR	R	R3	Basal
D3S1	GR	R	R3	Intermediate 
D3S2	GR	R	R3	Intermediate 
D3S3	GR	R	R3	Intermediate 
D3T1	GR	R	R3	Tip
D3T2	GR	R	R3	Tip
D3T3	GR	R	R3	Tip
G1P1	GR	G	G1	Basal
G1P2	GR	G	G1	Basal
G1P3	GR	G	G1	Basal
G1S1	GR	G	G1	Intermediate 
G1S2	GR	G	G1	Intermediate 
G1S3	GR	G	G1	Intermediate 
G1T1	GR	G	G1	Tip
G1T2	GR	G	G1	Tip
G1T3	GR	G	G1	Tip
G2P1	GR	G	G2	Basal
G2P2	GR	G	G2	Basal
G2P3	GR	G	G2	Basal
G2S1	GR	G	G2	Intermediate 
G2S2	GR	G	G2	Intermediate 
G2S3	GR	G	G2	Intermediate 
G2T1	GR	G	G2	Tip
G2T2	GR	G	G2	Tip
G2T3	GR	G	G2	Tip
G3P1	GR	G	G3	Basal
G3P2	GR	G	G3	Basal
G3P3	GR	G	G3	Basal
G3S1	GR	G	G3	Intermediate 
G3S2	GR	G	G3	Intermediate 
G3S3	GR	G	G3	Intermediate 
G3T1	GR	G	G3	Tip
G3T2	GR	G	G3	Tip
G3T3	GR	G	G3	Tip
Y1P1	Y	Y	Y1	Basal
Y1P2	Y	Y	Y1	Basal
Y1P3	Y	Y	Y1	Basal
Y1S1	Y	Y	Y1	Intermediate 
Y1S2	Y	Y	Y1	Intermediate 
Y1S3	Y	Y	Y1	Intermediate 
Y1T1	Y	Y	Y1	Tip
Y1T2	Y	Y	Y1	Tip
Y1T3	Y	Y	Y1	Tip
Y2P1	Y	Y	Y2	Basal
Y2P2	Y	Y	Y2	Basal
Y2P3	Y	Y	Y2	Basal
Y2S1	Y	Y	Y2	Intermediate 
Y2S2	Y	Y	Y2	Intermediate 
Y2S3	Y	Y	Y2	Intermediate 
Y2T1	Y	Y	Y2	Tip
Y2T2	Y	Y	Y2	Tip
Y2T3	Y	Y	Y2	Tip
Y3P1	Y	Y	Y3	Basal
Y3P2	Y	Y	Y3	Basal
Y3P3	Y	Y	Y3	Basal
Y3S1	Y	Y	Y3	Intermediate 
Y3S2	Y	Y	Y3	Intermediate 
Y3S3	Y	Y	Y3	Intermediate 
Y3T1	Y	Y	Y3	Tip
Y3T2	Y	Y	Y3	Tip
Y3T3	Y	Y	Y3	Tip
