Sample	Genotype	Colony	Coral Branch
D1P1	R	R1	Basal
D1P2	R	R1	Basal
D1P3	R	R1	Basal
D1S1	R	R1	Intermediate 
D1S2	R	R1	Intermediate 
D1S3	R	R1	Intermediate 
D1T1	R	R1	Tip
D1T2	R	R1	Tip
D1T3	R	R1	Tip
D2P1	R	R2	Basal
D2P2	R	R2	Basal
D2P3	R	R2	Basal
D2S1	R	R2	Intermediate 
D2S2	R	R2	Intermediate 
D2S3	R	R2	Intermediate 
D2T1	R	R2	Tip
D2T2	R	R2	Tip
D2T3	R	R2	Tip
D3P1	R	R3	Basal
D3P2	R	R3	Basal
D3P3	R	R3	Basal
D3S1	R	R3	Intermediate 
D3S2	R	R3	Intermediate 
D3S3	R	R3	Intermediate 
D3T1	R	R3	Tip
D3T2	R	R3	Tip
D3T3	R	R3	Tip
Y1P1	Y	Y1	Basal
Y1P2	Y	Y1	Basal
Y1P3	Y	Y1	Basal
Y1S1	Y	Y1	Intermediate 
Y1S2	Y	Y1	Intermediate 
Y1S3	Y	Y1	Intermediate 
Y1T1	Y	Y1	Tip
Y1T2	Y	Y1	Tip
Y1T3	Y	Y1	Tip
Y2P1	Y	Y2	Basal
Y2P2	Y	Y2	Basal
Y2P3	Y	Y2	Basal
Y2S1	Y	Y2	Intermediate 
Y2S2	Y	Y2	Intermediate 
Y2S3	Y	Y2	Intermediate 
Y2T1	Y	Y2	Tip
Y2T2	Y	Y2	Tip
Y2T3	Y	Y2	Tip
Y3P1	Y	Y3	Basal
Y3P2	Y	Y3	Basal
Y3P3	Y	Y3	Basal
Y3S1	Y	Y3	Intermediate 
Y3S2	Y	Y3	Intermediate 
Y3S3	Y	Y3	Intermediate 
Y3T1	Y	Y3	Tip
Y3T2	Y	Y3	Tip
Y3T3	Y	Y3	Tip
