Sample	Genotype	Colony	Coral Branch
D1P1	R	R1	Basal
D1P2	R	R1	Basal
D1P3	R	R1	Basal
D1S1	R	R1	Intermediate 
D1S2	R	R1	Intermediate 
D1S3	R	R1	Intermediate 
D1T1	R	R1	Tip
D1T2	R	R1	Tip
D1T3	R	R1	Tip
D2P1	R	R2	Basal
D2P2	R	R2	Basal
D2P3	R	R2	Basal
D2S1	R	R2	Intermediate 
D2S2	R	R2	Intermediate 
D2S3	R	R2	Intermediate 
D2T1	R	R2	Tip
D2T2	R	R2	Tip
D2T3	R	R2	Tip
D3P1	R	R3	Basal
D3P2	R	R3	Basal
D3P3	R	R3	Basal
D3S1	R	R3	Intermediate 
D3S2	R	R3	Intermediate 
D3S3	R	R3	Intermediate 
D3T1	R	R3	Tip
D3T2	R	R3	Tip
D3T3	R	R3	Tip
G1P1	G	G1	Basal
G1P2	G	G1	Basal
G1P3	G	G1	Basal
G1S1	G	G1	Intermediate 
G1S2	G	G1	Intermediate 
G1S3	G	G1	Intermediate 
G1T1	G	G1	Tip
G1T2	G	G1	Tip
G1T3	G	G1	Tip
G2P1	G	G2	Basal
G2P2	G	G2	Basal
G2P3	G	G2	Basal
G2S1	G	G2	Intermediate 
G2S2	G	G2	Intermediate 
G2S3	G	G2	Intermediate 
G2T1	G	G2	Tip
G2T2	G	G2	Tip
G2T3	G	G2	Tip
G3P1	G	G3	Basal
G3P2	G	G3	Basal
G3P3	G	G3	Basal
G3S1	G	G3	Intermediate 
G3S2	G	G3	Intermediate 
G3S3	G	G3	Intermediate 
G3T1	G	G3	Tip
G3T2	G	G3	Tip
G3T3	G	G3	Tip
