Sample	Genotype	Colony	Branch
G1P1	G	G1	Basal
G1P2	G	G1	Basal
G1P3	G	G1	Basal
G1S1	G	G1	Intermediate 
G1S2	G	G1	Intermediate 
G1S3	G	G1	Intermediate 
G1T1	G	G1	Tip
G1T2	G	G1	Tip
G1T3	G	G1	Tip
G2P1	G	G2	Basal
G2P2	G	G2	Basal
G2P3	G	G2	Basal
G2S1	G	G2	Intermediate 
G2S2	G	G2	Intermediate 
G2S3	G	G2	Intermediate 
G2T1	G	G2	Tip
G2T2	G	G2	Tip
G2T3	G	G2	Tip
G3P1	G	G3	Basal
G3P2	G	G3	Basal
G3P3	G	G3	Basal
G3S1	G	G3	Intermediate 
G3S2	G	G3	Intermediate 
G3S3	G	G3	Intermediate 
G3T1	G	G3	Tip
G3T2	G	G3	Tip
G3T3	G	G3	Tip
Y1P1	Y	Y1	Basal
Y1P2	Y	Y1	Basal
Y1P3	Y	Y1	Basal
Y1S1	Y	Y1	Intermediate 
Y1S2	Y	Y1	Intermediate 
Y1S3	Y	Y1	Intermediate 
Y1T1	Y	Y1	Tip
Y1T2	Y	Y1	Tip
Y1T3	Y	Y1	Tip
Y2P1	Y	Y2	Basal
Y2P2	Y	Y2	Basal
Y2P3	Y	Y2	Basal
Y2S1	Y	Y2	Intermediate 
Y2S2	Y	Y2	Intermediate 
Y2S3	Y	Y2	Intermediate 
Y2T1	Y	Y2	Tip
Y2T2	Y	Y2	Tip
Y2T3	Y	Y2	Tip
Y3P1	Y	Y3	Basal
Y3P2	Y	Y3	Basal
Y3P3	Y	Y3	Basal
Y3S1	Y	Y3	Intermediate 
Y3S2	Y	Y3	Intermediate 
Y3S3	Y	Y3	Intermediate 
Y3T1	Y	Y3	Tip
Y3T2	Y	Y3	Tip
Y3T3	Y	Y3	Tip
